date,dzdt
2007-08-21 21:00:00+00:00,0.16
2007-08-21 22:00:00+00:00,-0.16
2007-08-24 21:00:00+00:00,-0.25
2007-08-24 22:00:00+00:00,0.26
2007-09-01 12:00:00+00:00,-0.23
2007-09-01 13:00:00+00:00,0.22
2007-09-03 10:00:00+00:00,-0.23
2007-09-03 11:00:00+00:00,0.22
2011-07-24 16:00:00+00:00,-0.19
2015-02-26 18:00:00+00:00,0.18
2015-03-03 19:00:00+00:00,0.22
2015-03-11 12:00:00+00:00,-0.18
2015-03-12 19:00:00+00:00,0.20
2015-03-12 20:00:00+00:00,0.22
2015-03-12 22:00:00+00:00,-0.20
2015-12-05 01:00:00+00:00,-0.17
2016-01-28 04:00:00+00:00,0.17
2016-01-29 13:00:00+00:00,-0.18
2016-01-30 02:00:00+00:00,-0.22
2016-01-30 04:00:00+00:00,0.21
2016-01-30 12:00:00+00:00,-0.15
2016-01-31 05:00:00+00:00,-0.23
2016-01-31 06:00:00+00:00,-0.18
2016-01-31 12:00:00+00:00,-0.28
2016-01-31 23:00:00+00:00,-0.19
2016-02-01 01:00:00+00:00,-0.41
2016-02-01 12:00:00+00:00,-0.19
2016-02-06 13:00:00+00:00,-0.32
2016-02-10 13:00:00+00:00,-0.25
2016-02-10 18:00:00+00:00,0.58
2016-02-10 23:00:00+00:00,-0.17
2016-02-11 00:00:00+00:00,-0.20
2016-02-11 01:00:00+00:00,-0.24
2016-02-11 02:00:00+00:00,-0.26
2016-02-11 12:00:00+00:00,0.59
2017-02-26 11:00:00+00:00,-0.16
2017-04-04 09:00:00+00:00,-0.17
2017-04-04 14:00:00+00:00,0.18
2017-10-01 19:00:00+00:00,0.29
2017-10-01 20:00:00+00:00,-0.27
2017-10-03 00:00:00+00:00,0.18
2017-10-03 01:00:00+00:00,-0.16
2018-02-16 05:00:00+00:00,0.24
2018-02-17 09:00:00+00:00,-0.22
2018-02-21 15:00:00+00:00,0.18
2018-02-24 03:00:00+00:00,-0.48
2018-02-24 05:00:00+00:00,-0.38
2018-02-24 16:00:00+00:00,0.18
2018-02-24 17:00:00+00:00,0.16
2018-02-24 18:00:00+00:00,0.26
2018-02-24 22:00:00+00:00,-0.29
2018-02-24 23:00:00+00:00,-0.19
2018-02-25 00:00:00+00:00,-0.39
2018-02-25 02:00:00+00:00,-0.15
2018-02-25 03:00:00+00:00,-0.35
2018-02-25 04:00:00+00:00,-0.30
2018-02-25 05:00:00+00:00,-0.30
2018-02-25 06:00:00+00:00,1.05
2018-02-25 07:00:00+00:00,0.59
2018-02-25 08:00:00+00:00,-0.43
2018-02-25 10:00:00+00:00,-0.43
2018-02-25 19:00:00+00:00,2.23
2018-02-25 22:00:00+00:00,-0.73
2018-02-25 23:00:00+00:00,-0.18
2018-02-26 00:00:00+00:00,-0.30
2018-02-26 01:00:00+00:00,-0.31
2018-02-26 02:00:00+00:00,0.28
2018-02-26 03:00:00+00:00,0.22
2018-02-26 04:00:00+00:00,0.15
2018-02-26 06:00:00+00:00,-0.22
2018-02-26 10:00:00+00:00,-0.67
2018-02-26 19:00:00+00:00,0.27
2018-02-26 20:00:00+00:00,0.62
2018-02-26 21:00:00+00:00,-0.82
2018-02-26 23:00:00+00:00,0.31
2018-02-27 01:00:00+00:00,-0.26
2018-02-27 03:00:00+00:00,-0.23
2018-03-10 09:00:00+00:00,-0.16
2018-03-27 02:00:00+00:00,-0.29
2018-03-27 03:00:00+00:00,-0.17
2018-03-27 05:00:00+00:00,-0.19
