index,year,month,dz,count
0,2008.0,1.0,,
1,2008.0,2.0,,
2,2008.0,3.0,,
3,2008.0,4.0,,
4,2008.0,5.0,,
5,2008.0,6.0,,
6,2008.0,7.0,,
7,2008.0,8.0,,
8,2008.0,9.0,-0.19147766412390163,720.0
9,2008.0,10.0,,
10,2008.0,11.0,,
11,2008.0,12.0,,
12,2009.0,1.0,,
13,2009.0,2.0,,
14,2009.0,3.0,,
15,2009.0,4.0,,
16,2009.0,5.0,,
17,2009.0,6.0,,
18,2009.0,7.0,,
19,2009.0,8.0,,
20,2009.0,9.0,,
21,2009.0,10.0,,
22,2009.0,11.0,,
23,2009.0,12.0,,
24,2010.0,1.0,-0.01780497546997808,743.0
25,2010.0,2.0,,
26,2010.0,3.0,-0.002172461571768832,744.0
27,2010.0,4.0,0.002303848821081964,720.0
28,2010.0,5.0,0.01261010319694042,744.0
29,2010.0,6.0,-0.022724214054554017,720.0
30,2010.0,7.0,-1.1395586815328003,744.0
31,2010.0,8.0,,
32,2010.0,9.0,,
33,2010.0,10.0,,
34,2010.0,11.0,,
35,2010.0,12.0,-0.04170163996535956,744.0
36,2011.0,1.0,-0.013121270837843282,744.0
37,2011.0,2.0,,
38,2011.0,3.0,-0.005315344230353437,744.0
39,2011.0,4.0,,
40,2011.0,5.0,-0.006604824276538863,744.0
41,2011.0,6.0,0.007884346586530918,720.0
42,2011.0,7.0,-0.005341201197950602,744.0
43,2011.0,8.0,-0.7133409468138855,744.0
44,2011.0,9.0,-0.0039788083680071355,720.0
45,2011.0,10.0,-0.0019731832286924472,744.0
46,2011.0,11.0,-0.009833934350439028,720.0
47,2011.0,12.0,-0.007992141156093539,744.0
48,2012.0,1.0,0.006644252002598835,744.0
49,2012.0,2.0,,
50,2012.0,3.0,-0.0032139586490573307,744.0
51,2012.0,4.0,-0.08734032400986204,720.0
52,2012.0,5.0,-0.027873262610955508,744.0
53,2012.0,6.0,0.018291325705039937,720.0
54,2012.0,7.0,-1.0705645810781557,744.0
55,2012.0,8.0,-0.8940802879411137,744.0
56,2012.0,9.0,-0.1337114135460001,720.0
57,2012.0,10.0,-0.0022751515479533836,744.0
58,2012.0,11.0,-0.011447595931575913,720.0
59,2012.0,12.0,-0.005060862740851502,744.0
60,2013.0,1.0,-0.0034090495778292414,744.0
61,2013.0,2.0,,
62,2013.0,3.0,-0.0019287345745832602,744.0
