index,year,month,dz,count
0,2013.0,1.0,,
1,2013.0,2.0,,
2,2013.0,3.0,,
3,2013.0,4.0,,
4,2013.0,5.0,,
5,2013.0,6.0,,
6,2013.0,7.0,,
7,2013.0,8.0,,
8,2013.0,9.0,-0.1130826167360146,720.0
9,2013.0,10.0,-0.023748690192682595,744.0
10,2013.0,11.0,0.014534477577438807,720.0
11,2013.0,12.0,-0.006709168651223339,744.0
12,2014.0,1.0,-0.010068402251570088,744.0
13,2014.0,2.0,,
14,2014.0,3.0,0.0,0.0
15,2014.0,4.0,0.0012559292649100425,720.0
16,2014.0,5.0,-0.0046151547954102696,744.0
17,2014.0,6.0,-0.0005552165202649206,720.0
18,2014.0,7.0,-0.6546241827235336,744.0
19,2014.0,8.0,-1.0767630692069001,744.0
20,2014.0,9.0,-0.07048559292649094,720.0
21,2014.0,10.0,-0.015318683697769878,744.0
22,2014.0,11.0,-0.005464759593157456,720.0
23,2014.0,12.0,0.010184677419355017,744.0
24,2015.0,1.0,-0.003319318755863093,744.0
25,2015.0,2.0,,
26,2015.0,3.0,0.004458270188352588,744.0
27,2015.0,4.0,0.010196948682385526,720.0
28,2015.0,5.0,-0.0038679367828531775,744.0
29,2015.0,6.0,0.001084086531052588,720.0
30,2015.0,7.0,0.0,0.0
31,2015.0,8.0,-0.10992399328859015,744.0
32,2015.0,9.0,-0.06657464170134078,720.0
33,2015.0,10.0,0.0,0.0
34,2015.0,11.0,-0.00956584604715676,720.0
35,2015.0,12.0,-0.00017299920617719634,744.0
36,2016.0,1.0,-0.009217038319982548,744.0
37,2016.0,2.0,,
38,2016.0,3.0,0.001083151114959912,744.0
39,2016.0,4.0,0.002840684234859386,720.0
40,2016.0,5.0,-0.01293366529551799,744.0
41,2016.0,6.0,-0.02221929996917878,720.0
42,2016.0,7.0,-0.9008353214981604,744.0
43,2016.0,8.0,-1.075122999206179,744.0
44,2016.0,9.0,-0.00481880490060058,720.0
45,2016.0,10.0,-0.029298922927040016,744.0
46,2016.0,11.0,-0.018112444136230765,720.0
47,2016.0,12.0,-0.02428837049866505,744.0
48,2017.0,1.0,0.016803317817710405,744.0
49,2017.0,2.0,,
50,2017.0,3.0,-0.006720810781555008,744.0
51,2017.0,4.0,-0.002564052627523066,720.0
52,2017.0,5.0,-0.03324920437324057,744.0
53,2017.0,6.0,-0.03053062875635702,720.0
54,2017.0,7.0,-0.038565738984533804,744.0
55,2017.0,8.0,-0.6806645969624525,744.0
56,2017.0,9.0,-0.08674574664817321,720.0
57,2017.0,10.0,,
58,2017.0,11.0,,
59,2017.0,12.0,,
60,2018.0,1.0,,
61,2018.0,2.0,,
62,2018.0,3.0,,
63,2018.0,4.0,,
64,2018.0,5.0,,
65,2018.0,6.0,,
66,2018.0,7.0,,
67,2018.0,8.0,,
68,2018.0,9.0,,
69,2018.0,10.0,,
70,2018.0,11.0,0.0,0.0
71,2018.0,12.0,0.012529351591254567,744.0
72,2019.0,1.0,0.0009092714873356898,744.0
73,2019.0,2.0,,
74,2019.0,3.0,-0.01856612903225717,744.0
75,2019.0,4.0,0.003807547387888045,720.0
76,2019.0,5.0,-0.10491001118568116,744.0
77,2019.0,6.0,-0.0010288276313761427,720.0
78,2019.0,7.0,-0.4529317276466768,744.0
79,2019.0,8.0,-0.624295255105722,744.0
80,2019.0,9.0,-0.0941630868906351,720.0
81,2019.0,10.0,-0.015246384498808784,744.0
82,2019.0,11.0,,
83,2019.0,12.0,,
84,2020.0,1.0,,
85,2020.0,2.0,,
86,2020.0,3.0,,
87,2020.0,4.0,,
88,2020.0,5.0,,
89,2020.0,6.0,,
90,2020.0,7.0,,
91,2020.0,8.0,,
92,2020.0,9.0,,
93,2020.0,10.0,,
94,2020.0,11.0,,
95,2020.0,12.0,,
