index,year,month,dz,count
0,2007.0,1.0,,
1,2007.0,2.0,,
2,2007.0,3.0,,
3,2007.0,4.0,,
4,2007.0,5.0,,
5,2007.0,6.0,,
6,2007.0,7.0,,
7,2007.0,8.0,,
8,2007.0,9.0,,
9,2007.0,10.0,,
10,2007.0,11.0,,
11,2007.0,12.0,,
12,2008.0,1.0,,
13,2008.0,2.0,,
14,2008.0,3.0,,
15,2008.0,4.0,,
16,2008.0,5.0,,
17,2008.0,6.0,,
18,2008.0,7.0,,
19,2008.0,8.0,,
20,2008.0,9.0,,
21,2008.0,10.0,,
22,2008.0,11.0,,
23,2008.0,12.0,,
24,2009.0,1.0,,
25,2009.0,2.0,,
26,2009.0,3.0,,
27,2009.0,4.0,,
28,2009.0,5.0,,
29,2009.0,6.0,,
30,2009.0,7.0,,
31,2009.0,8.0,,
32,2009.0,9.0,,
33,2009.0,10.0,,
34,2009.0,11.0,,
35,2009.0,12.0,,
36,2010.0,1.0,,
37,2010.0,2.0,,
38,2010.0,3.0,,
39,2010.0,4.0,,
40,2010.0,5.0,,
41,2010.0,6.0,,
42,2010.0,7.0,,
43,2010.0,8.0,,
44,2010.0,9.0,,
45,2010.0,10.0,,
46,2010.0,11.0,,
47,2010.0,12.0,,
48,2011.0,1.0,,
49,2011.0,2.0,,
50,2011.0,3.0,,
51,2011.0,4.0,,
52,2011.0,5.0,,
53,2011.0,6.0,,
54,2011.0,7.0,,
55,2011.0,8.0,,
56,2011.0,9.0,,
57,2011.0,10.0,,
58,2011.0,11.0,,
59,2011.0,12.0,,
60,2012.0,1.0,,
61,2012.0,2.0,,
62,2012.0,3.0,,
63,2012.0,4.0,0.008462469178610647,720.0
64,2012.0,5.0,0.005824027567296737,744.0
65,2012.0,6.0,-0.9334169459855138,720.0
66,2012.0,7.0,-1.6228980298765967,744.0
67,2012.0,8.0,-1.3246264126434306,744.0
68,2012.0,9.0,,
69,2012.0,10.0,,
70,2012.0,11.0,,
71,2012.0,12.0,,
72,2013.0,1.0,,
73,2013.0,2.0,,
74,2013.0,3.0,,
75,2013.0,4.0,,
76,2013.0,5.0,,
77,2013.0,6.0,,
78,2013.0,7.0,,
79,2013.0,8.0,,
80,2013.0,9.0,,
81,2013.0,10.0,,
82,2013.0,11.0,,
83,2013.0,12.0,,
84,2014.0,1.0,,
85,2014.0,2.0,,
86,2014.0,3.0,,
87,2014.0,4.0,,
88,2014.0,5.0,,
89,2014.0,6.0,,
90,2014.0,7.0,,
91,2014.0,8.0,0.0,0.0
92,2014.0,9.0,-0.5674067147658141,720.0
93,2014.0,10.0,0.0,0.0
94,2014.0,11.0,-0.00891522822565014,720.0
95,2014.0,12.0,-0.3925649205524125,744.0
96,2015.0,1.0,,
97,2015.0,2.0,,
98,2015.0,3.0,,
99,2015.0,4.0,,
100,2015.0,5.0,,
101,2015.0,6.0,,
102,2015.0,7.0,,
103,2015.0,8.0,,
104,2015.0,9.0,,
105,2015.0,10.0,,
106,2015.0,11.0,,
107,2015.0,12.0,,
108,2016.0,1.0,,
109,2016.0,2.0,,
110,2016.0,3.0,,
111,2016.0,4.0,,
112,2016.0,5.0,,
113,2016.0,6.0,,
114,2016.0,7.0,-0.11149798657717996,744.0
115,2016.0,8.0,0.0,0.0
116,2016.0,9.0,-0.4119188626907068,720.0
117,2016.0,10.0,-0.3179973912102159,744.0
118,2016.0,11.0,,
119,2016.0,12.0,,
120,2017.0,1.0,,
121,2017.0,2.0,,
122,2017.0,3.0,,
123,2017.0,4.0,,
124,2017.0,5.0,,
125,2017.0,6.0,,
126,2017.0,7.0,,
127,2017.0,8.0,-1.097883416323877,744.0
128,2017.0,9.0,-0.527147630605637,720.0
129,2017.0,10.0,-0.05729266616150138,744.0
130,2017.0,11.0,0.0,0.0
131,2017.0,12.0,0.010583676120379188,744.0
132,2018.0,1.0,0.00981559861442576,744.0
133,2018.0,2.0,,
134,2018.0,3.0,-0.04450491448365212,744.0
135,2018.0,4.0,-0.004103935506239012,720.0
136,2018.0,5.0,0.005670642996321324,744.0
137,2018.0,6.0,-0.5329878005085537,720.0
138,2018.0,7.0,-1.4250196362849088,744.0
139,2018.0,8.0,-1.1364538211734123,744.0
140,2018.0,9.0,-0.4115278856526378,720.0
141,2018.0,10.0,0.0,0.0
142,2018.0,11.0,-0.07296164470642222,720.0
143,2018.0,12.0,-0.000855551345886794,744.0
144,2019.0,1.0,-0.04984750487117484,744.0
145,2019.0,2.0,,
146,2019.0,3.0,-0.09973194414375348,744.0
147,2019.0,4.0,-0.024383308912350923,720.0
148,2019.0,5.0,-0.4392554922747753,744.0
149,2019.0,6.0,-1.4797273867313898,720.0
150,2019.0,7.0,-1.6572182795698898,744.0
151,2019.0,8.0,-1.06367361081042,744.0
152,2019.0,9.0,-0.33258048042841204,720.0
153,2019.0,10.0,-0.07948089232878441,744.0
154,2019.0,11.0,,
155,2019.0,12.0,,
156,2020.0,1.0,,
157,2020.0,2.0,,
158,2020.0,3.0,,
159,2020.0,4.0,,
160,2020.0,5.0,,
161,2020.0,6.0,,
162,2020.0,7.0,,
163,2020.0,8.0,,
164,2020.0,9.0,,
165,2020.0,10.0,,
166,2020.0,11.0,,
167,2020.0,12.0,,
