index,year,month,dz,count
0,2009.0,1.0,,
1,2009.0,2.0,,
2,2009.0,3.0,,
3,2009.0,4.0,,
4,2009.0,5.0,,
5,2009.0,6.0,,
6,2009.0,7.0,,
7,2009.0,8.0,,
8,2009.0,9.0,0.01079837031900181,720.0
9,2009.0,10.0,0.0031463484159629817,744.0
10,2009.0,11.0,0.017338101017105857,720.0
11,2009.0,12.0,0.01910412426932256,744.0
12,2010.0,1.0,-0.011709830771450875,744.0
13,2010.0,2.0,,
14,2010.0,3.0,0.014348022660027424,744.0
15,2010.0,4.0,0.002377022653721704,720.0
16,2010.0,5.0,-0.13359817059969673,744.0
17,2010.0,6.0,-0.6749145746648183,720.0
18,2010.0,7.0,-1.0250814462004765,744.0
19,2010.0,8.0,-0.7859267590387535,744.0
20,2010.0,9.0,0.004244105409154501,720.0
21,2010.0,10.0,0.0070866096557701385,744.0
22,2010.0,11.0,0.007720336338419147,720.0
23,2010.0,12.0,-0.03804984484376111,744.0
24,2011.0,1.0,-0.005987627192032442,744.0
25,2011.0,2.0,,
26,2011.0,3.0,0.0182868189362778,744.0
27,2011.0,4.0,0.0,0.0
28,2011.0,5.0,-0.016584249837626863,744.0
29,2011.0,6.0,-0.6707639967637546,720.0
30,2011.0,7.0,-1.435014407880495,744.0
31,2011.0,8.0,-0.5489971638882872,744.0
32,2011.0,9.0,0.0,0.0
33,2011.0,10.0,0.0,0.0
34,2011.0,11.0,-0.0042092695330550964,720.0
35,2011.0,12.0,-0.00525635960164492,744.0
36,2012.0,1.0,0.0,0.0
37,2012.0,2.0,,
38,2012.0,3.0,0.0,0.0
39,2012.0,4.0,0.0037680054707974753,720.0
40,2012.0,5.0,0.007110403996668585,744.0
41,2012.0,6.0,-0.7291075479132518,720.0
42,2012.0,7.0,-1.3939488525654904,744.0
43,2012.0,8.0,-0.5407890769737214,744.0
44,2012.0,9.0,,
45,2012.0,10.0,,
46,2012.0,11.0,,
47,2012.0,12.0,0.010370659233601457,744.0
48,2013.0,1.0,0.015152679151334524,744.0
49,2013.0,2.0,,
50,2013.0,3.0,-0.0025531987443174545,744.0
51,2013.0,4.0,0.0029667013407309365,720.0
52,2013.0,5.0,0.001350059536696979,744.0
53,2013.0,6.0,-0.16826393897364783,720.0
54,2013.0,7.0,-0.7029729703399004,744.0
55,2013.0,8.0,-0.31332987659666606,744.0
56,2013.0,9.0,0.0,0.0
57,2013.0,10.0,0.01203552897452655,744.0
58,2013.0,11.0,0.01169709508399044,720.0
59,2013.0,12.0,0.006203669625459939,744.0
60,2014.0,1.0,0.006287248322152012,744.0
61,2014.0,2.0,,
62,2014.0,3.0,0.011755397993794079,744.0
63,2014.0,4.0,0.011278698566804912,720.0
64,2014.0,5.0,0.005066026196146771,744.0
65,2014.0,6.0,-0.12181056017876299,720.0
66,2014.0,7.0,-0.9760171249188135,744.0
67,2014.0,8.0,-0.3911883362199585,744.0
68,2014.0,9.0,0.00982403490522596,720.0
69,2014.0,10.0,0.00822216208414561,744.0
70,2014.0,11.0,-0.012370800585605883,720.0
71,2014.0,12.0,0.007843086526666003,744.0
72,2015.0,1.0,0.010498392509203295,744.0
73,2015.0,2.0,,
74,2015.0,3.0,0.0008554611387758389,744.0
75,2015.0,4.0,0.0,0.0
76,2015.0,5.0,0.01473933751894435,744.0
77,2015.0,6.0,-0.027452644860533174,720.0
78,2015.0,7.0,-1.110319814895001,744.0
79,2015.0,8.0,-0.29489811647542163,744.0
80,2015.0,9.0,-0.012966570991934353,720.0
81,2015.0,10.0,-0.005228110041310294,744.0
82,2015.0,11.0,,
83,2015.0,12.0,-0.0035300173197660534,744.0
84,2016.0,1.0,-0.005363520242471868,744.0
85,2016.0,2.0,,
86,2016.0,3.0,0.013520433715812729,744.0
87,2016.0,4.0,-0.0141552935737412,720.0
88,2016.0,5.0,0.0032840225157027745,744.0
89,2016.0,6.0,-0.022264696024039222,720.0
90,2016.0,7.0,-0.9160016110990814,744.0
91,2016.0,8.0,-0.41027958432561046,744.0
92,2016.0,9.0,0.014230114424411962,720.0
93,2016.0,10.0,0.00923206321715034,744.0
94,2016.0,11.0,0.015492706888578444,720.0
95,2016.0,12.0,0.006629129681752071,744.0
96,2017.0,1.0,0.006192720285776525,744.0
97,2017.0,2.0,,
98,2017.0,3.0,0.014804882009097851,744.0
99,2017.0,4.0,0.00205626444752607,720.0
100,2017.0,5.0,-0.001506868369772654,744.0
101,2017.0,6.0,-0.03641793997534782,720.0
102,2017.0,7.0,-0.5269184996752546,744.0
103,2017.0,8.0,-0.2794597207187689,744.0
104,2017.0,9.0,-0.010184737632916505,720.0
105,2017.0,10.0,0.0064686909143413,744.0
106,2017.0,11.0,0.0,0.0
107,2017.0,12.0,0.007736425633254459,744.0
108,2018.0,1.0,0.0075839521541500605,744.0
109,2018.0,2.0,,
110,2018.0,3.0,-0.0062607328426054175,744.0
111,2018.0,4.0,0.0031688049006014245,720.0
112,2018.0,5.0,0.002494403550552822,744.0
